security_code,security_name,close,market_cap
500325,RELIANCE INDUSTRIES LTD.,2454.9,1660580.67
532540,TATA CONSULTANCY SERVICES LTD.,3915.8,1448474.54
500180,HDFC Bank Ltd,1565.7,867773.49
500209,INFOSYS LTD.,1856.05,780583.72
500696,HINDUSTAN UNILEVER LTD.,2402.1,564395.32
532174,ICICI BANK LTD.,810.45,562740.13
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2710.65,490900.94
500034,Bajaj Finance Limited,7669.05,462899.52
500112,STATE BANK OF INDIA,505.95,451540.72
532454,BHARTI AIRTEL LTD.,703.6,386419.04
500247,KOTAK MAHINDRA BANK LTD.,1936.85,384251.67
507685,WIPRO LTD.,694.1,380457.9
532281,HCL TECHNOLOGIES LTD.,1344,364716.59
500820,ASIAN PAINTS LTD.,3536.85,339253.87
540376,Avenue Supermarts Ltd,4506.2,291900.23
532978,BAJAJ FINSERV LTD.,17794.35,283174.74
500510,LARSEN & TOUBRO LTD.,1960.7,275446.84
500875,ITC LTD.,221.85,273377.73
532500,MARUTI SUZUKI INDIA LTD.,8144.6,246032.13
541450,Adani Green Energy Ltd,1567.9,245221.8
500114,Titan Company Limited,2651.2,235369.87
532215,AXIS BANK LTD.,743.45,228066.23
532538,ULTRATECH CEMENT LTD.,7603.45,219485.48
539254,Adani Transmission Ltd,1860.05,204570.17
512599,ADANI ENTERPRISES LTD.,1843.85,202788.48
500312,Oil and Natural Gas Corporation Ltd,160.95,202479.59
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,832.4,199715.74
542066,Adani Total Gas Ltd,1783.9,196195.12
500790,NESTLE INDIA LTD.,19776.3,190674.61
532755,TECH MAHINDRA LTD.,1738.35,168722.5
500570,TATA MOTORS LTD.,501.25,166442.68
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,765.1,156214.43
500228,JSW STEEL LTD.,646.1,156176.61
532898,POWER GRID CORPORATION OF INDIA LTD.,203.9,142229.48
500470,TATA STEEL LTD.,1130.15,138112.98
500188,HINDUSTAN ZINC LTD.,326.5,137956.67
500331,PIDILITE INDUSTRIES LTD.,2707.65,137591.58
540777,HDFC Life Insurance Company Ltd,658.05,133241.37
532555,NTPC LTD.,132.3,128286.89
540005,Larsen & Toubro Infotech Ltd,7176.1,125741.63
540719,SBI Life Insurance Company Ltd,1232.9,123324.93
500295,Vedanta Limited,331,123039.21
500300,GRASIM INDUSTRIES LTD.,1846.65,121562.48
532488,DIVI'S LABORATORIES LTD.,4515.4,119869.68
530965,INDIAN OIL CORPORATION LTD.,118.45,111510.71
500440,HINDALCO INDUSTRIES LTD.,485.95,109201.22
500520,MAHINDRA & MAHINDRA LTD.,841.35,104596
500096,DABUR INDIA LTD.,586.55,103693.62
543320,Zomato Ltd,131.25,103311.99
532868,DLF LTD.,409.25,101302.13
